Gene	Chromosome	TSS	Strand	DistanceTSStoORF
LEU3	chr12	989818	+	92
FMP27	chr12	997699	+	116
PDP3	chr12	1007203	+	236
GAB1	chr12	1011105	+	39
MHT1	chr12	2571	-	13
GTT2	chr12	6740	-	-33
YLL054C	chr12	20199	-	58
AQY2	chr12	21320	-	22
FRE6	chr12	24484	-	76
COF1	chr12	25362	-	11
YBT1	chr12	31393	-	193
RPL8B	chr12	33587	-	23
SDH2	chr12	38891	-	44
VPS13	chr12	48665	-	104
UBI4	chr12	50220	-	97
ENT4	chr12	51471	-	37
PRP19	chr12	53184	-	12
RIX7	chr12	58100	-	38
YLL032C	chr12	61743	-	80
GPI13	chr12	65185	-	64
SSA2	chr12	82423	-	30
POM33	chr12	83774	-	30
HIF1	chr12	85102	-	-8
KNS1	chr12	93092	-	284
COX19	chr12	93940	-	58
DPS1	chr12	96522	-	38
PUF3	chr12	109869	-	271
PSR1	chr12	115741	-	242
COX17	chr12	116347	-	52
LMO1	chr12	121256	-	87
YLR001C	chr12	139085	-	31
NOC3	chr12	141441	-	30
CMS1	chr12	142819	-	18
THI73	chr12	144635	-	59
SSK1	chr12	149139	-	175
PAM18	chr12	151262	-	108
TEN1	chr12	152884	-	11
YLR012C	chr12	155410	-	58
PPR1	chr12	160081	-	36
PML1	chr12	162512	-	33
POM34	chr12	164725	-	56
YEH2	chr12	168501	-	39
SDO1	chr12	169988	-	5
IZH3	chr12	172374	-	187
SED5	chr12	181612	-	84
AAT2	chr12	183162	-	26
ADE16	chr12	186510	-	144
RPL15A	chr12	187662	-	23
SMF3	chr12	197142	-	165
MLH2	chr12	199522	-	22
PAU23	chr12	202363	-	198
COX12	chr12	204343	-	65
RIC1	chr12	207641	-	-62
AFB1	chr12	208764	-	75
YLR042C	chr12	209628	-	71
TRX1	chr12	211154	-	35
PDC1	chr12	213213	-	30
STU2	chr12	216863	-	58
MLO50	chr12	224453	-	185
YLR050C	chr12	225169	-	7
FCF2	chr12	226088	-	21
YLR053C	chr12	227528	-	12
SPT8	chr12	232211	-	57
SHM2	chr12	238518	-	44
REX2	chr12	239623	-	3
SND2	chr12	246006	-	34
PET309	chr12	249854	-	90
MEF1	chr12	252995	-	26
XYL2	chr12	254272	-	7
RGR1	chr12	257710	-	30
RFU1	chr12	260794	-	126
BUD20	chr12	261518	-	22
BOS1	chr12	265647	-	53
SRL2	chr12	272654	-	56
EMP70	chr12	275208	-	88
RAX2	chr12	279427	-	150
ARP6	chr12	281034	-	19
CSF1	chr12	294926	-	173
ALT1	chr12	299341	-	304
NYV1	chr12	306491	-	55
GIS3	chr12	308278	-	19
IOC2	chr12	311173	-	37
HRT3	chr12	316367	-	81
CHA4	chr12	318500	-	6
ICT1	chr12	319971	-	22
APC9	chr12	322801	-	13
CDC45	chr12	325032	-	70
SEN2	chr12	327240	-	39
MDN1	chr12	342880	-	128
YLR108C	chr12	347198	-	60
CCW12	chr12	349155	-	43
AVL9	chr12	356317	-	65
CLF1	chr12	363576	-	28
TML25	chr12	364471	-	49
YPS1	chr12	367339	-	105
YPS3	chr12	369310	-	26
YLR122C	chr12	370704	-	359
YLR126C	chr12	374613	-	79
APC2	chr12	377403	-	70
ZRT2	chr12	383160	-	84
USB1	chr12	387196	-	27
TIS11	chr12	395713	-	41
SLS1	chr12	402867	-	380
ACF2	chr12	411043	-	13
SPE4	chr12	412781	-	42
SMD3	chr12	413498	-	21
YLR149C	chr12	418917	-	80
PCD1	chr12	421752	-	1
YLR152C	chr12	423862	-	160
ACS2	chr12	426620	-	31
RNH203	chr12	427383	-	55
ASP3-2	chr12	439253	-	-658
ASP3-3	chr12	443569	-	14
MAS1	chr12	453188	-	25
PUS5	chr12	455160	-	-8
SEC10	chr12	457991	-	36
UPS2	chr12	460201	-	25
APS1	chr12	460996	-	41
DPH5	chr12	462075	-	7
RFX1	chr12	470093	-	-56
TFS1	chr12	473687	-	25
YLR179C	chr12	474619	-	66
VTA1	chr12	477577	-	67
TOS4	chr12	481899	-	47
ATG26	chr12	494308	-	75
HCR1	chr12	499478	-	49
UPS1	chr12	500397	-	21
NCW2	chr12	501433	-	20
NMT1	chr12	503165	-	21
PBA1	chr12	508644	-	40
COQ9	chr12	510155	-	27
MSS51	chr12	511851	-	56
HMX1	chr12	513552	-	40
PNP1	chr12	521592	-	25
ATG38	chr12	524416	-	50
TUB4	chr12	526131	-	15
CRR1	chr12	527795	-	41
CDC123	chr12	531726	-	36
CPR6	chr12	533074	-	31
COA4	chr12	533651	-	-99
RSA3	chr12	538901	-	45
UTP13	chr12	541622	-	19
IFH1	chr12	545647	-	325
YLR225C	chr12	548806	-	68
ADY4	chr12	552053	-	190
ECM22	chr12	562289	-	12
CDC42	chr12	564810	-	209
BNA5	chr12	566960	-	27
EST1	chr12	569384	-	46
LIP2	chr12	577150	-	18
ARV1	chr12	583777	-	80
MAP1	chr12	586163	-	18
CDD1	chr12	586762	-	18
IRC20	chr12	593195	-	27
NDL1	chr12	604879	-	98
HSP60	chr12	624282	-	34
YPT6	chr12	628164	-	53
TMA7	chr12	628920	-	38
NEJ1	chr12	634670	-	3
YCS4	chr12	646478	-	58
DBP9	chr12	656497	-	96
YSH1	chr12	659214	-	148
YLR278C	chr12	663612	-	32
RSO55	chr12	664528	-	14
ECI1	chr12	666619	-	25
CTS1	chr12	669921	-	231
YLR287C	chr12	671679	-	67
RPS30A	chr12	672755	-	43
MEC3	chr12	674476	-	18
COQ11	chr12	677537	-	5
GCD7	chr12	679048	-	32
SEC72	chr12	679938	-	14
GSP1	chr12	681007	-	23
ATP14	chr12	681971	-	44
YHC1	chr12	684975	-	5
ACO1	chr12	697141	-	39
STT4	chr12	703469	-	52
YLR307C-A	chr12	706731	-	66
IMH1	chr12	711344	-	21
CDC25	chr12	716707	-	160
ATG39	chr12	718487	-	100
SPH1	chr12	721940	-	44
CDC3	chr12	723756	-	65
TAD3	chr12	725921	-	9
BUD6	chr12	731275	-	52
SFH1	chr12	737414	-	11
CWC24	chr12	738527	-	36
RPL38	chr12	740939	-	21
TMA10	chr12	743014	-	88
RPS25B	chr12	755907	-	468
SGD1	chr12	761963	-	27
VRP1	chr12	764711	-	65
CIS1	chr12	782186	-	54
KAP95	chr12	786081	-	163
DIC1	chr12	787408	-	30
NIT3	chr12	789874	-	15
TAL1	chr12	796889	-	41
ILV5	chr12	798822	-	79
DCR2	chr12	808635	-	21
YLR361C-A	chr12	809192	-	23
NMD4	chr12	812720	-	79
ARC18	chr12	821773	-	40
VID22	chr12	830872	-	16
PSY3	chr12	833078	-	34
FBP1	chr12	834322	-	41
SEC61	chr12	836873	-	205
NAM2	chr12	844291	-	79
IKI3	chr12	852346	-	-15
SWC7	chr12	852881	-	30
REH1	chr12	857222	-	89
STE23	chr12	862165	-	46
ART10	chr12	865942	-	179
COX8	chr12	869464	-	41
VPS33	chr12	871825	-	57
AFG2	chr12	874366	-	16
SKI2	chr12	878517	-	40
BDF1	chr12	881100	-	46
DUS3	chr12	883948	-	42
RPL31B	chr12	891239	-	26
BLS1	chr12	893685	-	-26
UTP21	chr12	896739	-	48
PUN1	chr12	907761	-	122
CDC73	chr12	911665	-	60
RPN13	chr12	919411	-	4
ATG17	chr12	927053	-	36
ATG23	chr12	955666	-	119
CNA1	chr12	959952	-	114
ECM30	chr12	965131	-	56
DIF1	chr12	965919	-	66
LSM3	chr12	968071	-	59
SEC39	chr12	971600	-	69
RPS1A	chr12	972766	-	24
SIR3	chr12	976123	-	38
VMA6	chr12	981764	-	54
SST2	chr12	995228	-	45
RIF2	chr12	996861	-	58
NBP1	chr12	1010614	-	33
YLR460C	chr12	1014734	-	37
YML131W	chr13	4746	+	34
RSC9	chr13	11598	+	48
GTR1	chr13	21444	+	60
YML119W	chr13	25098	+	87
NGL3	chr13	26795	+	113
NAB6	chr13	28676	+	141
ATR1	chr13	32689	+	81
DAT1	chr13	38561	+	48
CTK3	chr13	39597	+	24
BUL2	chr13	41384	+	126
ZDS2	chr13	46127	+	73
YML108W	chr13	49294	+	60
URA5	chr13	51113	+	221
CAC2	chr13	62830	+	19
TSL1	chr13	65120	+	60
TAF13	chr13	71797	+	24
YML096W	chr13	74438	+	24
UTP14	chr13	77619	+	24
UFO1	chr13	86739	+	21
YML082W	chr13	96319	+	55
TDA9	chr13	99146	+	143
DUS1	chr13	103198	+	120
YML079W	chr13	104750	+	9
CPR3	chr13	105491	+	35
BET5	chr13	106385	+	5
DAK1	chr13	127959	+	44
POB3	chr13	129988	+	40
ITT1	chr13	132018	+	60
ORC1	chr13	136643	+	94
RPS1B	chr13	140988	+	26
OGG1	chr13	146360	+	42
HUG1	chr13	153220	+	51
SML1	chr13	153849	+	44
CMP2	chr13	154625	+	55
SPC2	chr13	159264	+	11
SUR7	chr13	164846	+	30
GAL80	chr13	166003	+	65
AIM32	chr13	167593	+	20
GSF2	chr13	172868	+	32
PRP39	chr13	175866	+	82
CAT2	chr13	181246	+	96
CGI121	chr13	188394	+	21
SRC1	chr13	192223	+	74
NDC1	chr13	196932	+	32
RCF1	chr13	199188	+	23
USA1	chr13	200058	+	80
TSA1	chr13	202885	+	29
YOX1	chr13	204102	+	78
RPS17A	chr13	208622	+	42
APT1	chr13	211675	+	37
YML020W	chr13	213767	+	157
OST6	chr13	216200	+	32
PSP2	chr13	219293	+	70
TRM9	chr13	225976	+	10
UBX2	chr13	226906	+	4
ERV25	chr13	228849	+	28
SPT5	chr13	230400	+	38
YAP1	chr13	236447	+	162
TRM12	chr13	242978	+	4
YML003W	chr13	246211	+	33
YPT7	chr13	249842	+	93
MIX17	chr13	254904	+	50
AIM34	chr13	255838	+	41
MVP1	chr13	256718	+	60
TAF4	chr13	258735	+	71
ADI1	chr13	266829	+	34
ANY1	chr13	267633	+	228
HXT2	chr13	270802	+	38
CLU1	chr13	273767	+	128
BUD22	chr13	281603	+	26
PEX9	chr13	292941	+	29
STB4	chr13	295027	+	-109
FMS1	chr13	298102	+	37
UBC7	chr13	301413	+	29
MRPL3	chr13	304669	+	-32
CSI1	chr13	306055	+	7
YMR027W	chr13	308571	+	68
TAP42	chr13	310221	+	23
RSF1	chr13	313379	+	176
HOF1	chr13	317960	+	100
ARP9	chr13	320507	+	43
IMP2	chr13	323863	+	41
YET2	chr13	333139	+	4
ARG80	chr13	335268	+	96
MCM1	chr13	336622	+	7
IOC4	chr13	338138	+	16
CSM3	chr13	343808	+	23
FAR3	chr13	350803	+	20
STV1	chr13	354334	+	204
FET3	chr13	359978	+	55
SEN15	chr13	362269	+	41
RNA14	chr13	363941	+	24
RIM9	chr13	368223	+	63
AEP1	chr13	369153	+	-41
AVO2	chr13	377477	+	33
NAT4	chr13	378989	+	-74
MOT3	chr13	380150	+	210
ABF2	chr13	382751	+	22
RCO1	chr13	385020	+	167
SEC14	chr13	396150	+	44
ADH3	chr13	405962	+	31
SEG1	chr13	410396	+	18
YMR087W	chr13	413718	+	14
YMR090W	chr13	420408	+	43
UTP15	chr13	425202	+	23
CTF13	chr13	427007	+	28
SNZ1	chr13	429568	+	50
MUB1	chr13	437156	+	355
SPG4	chr13	454523	+	38
ILV2	chr13	455435	+	183
MYO5	chr13	458088	+	33
FOL3	chr13	466476	+	57
MGR3	chr13	469194	+	44
NCW1	chr13	488733	+	44
PKR1	chr13	491027	+	28
STO1	chr13	494914	+	75
ECM16	chr13	501100	+	46
POM152	chr13	505227	+	27
DPI35	chr13	509493	+	76
ERG29	chr13	515261	+	29
GAT2	chr13	518532	+	98
CIN4	chr13	522610	+	0
RIM11	chr13	523388	+	192
SIP5	chr13	525117	+	52
RPS16A	chr13	529351	+	33
FDO1	chr13	530693	+	126
LDO45	chr13	536628	+	24
LDO16	chr13	537571	+	248
SWP1	chr13	538372	+	77
YIM1	chr13	540499	+	44
NUP53	chr13	541839	+	43
YMR155W	chr13	545998	+	0
MRPS8	chr13	549684	+	7
YMR160W	chr13	552459	+	47
HLJ1	chr13	555109	+	49
MLH1	chr13	572291	+	11
HOT1	chr13	583522	+	-125
DDR48	chr13	586051	+	54
SIP18	chr13	588411	+	21
ECM5	chr13	589048	+	108
MMT1	chr13	593826	+	156
YMR178W	chr13	595862	+	33
SPT21	chr13	597215	+	59
ADD37	chr13	605546	+	48
RTP1	chr13	606425	+	5
HSC82	chr13	609733	+	27
GCV2	chr13	614799	+	106
SPG5	chr13	623048	+	13
GYL1	chr13	624430	+	93
MRPL24	chr13	627415	+	26
RPL36A	chr13	628524	+	26
ICY1	chr13	631347	+	92
YMR196W	chr13	632414	+	67
CIK1	chr13	636874	+	276
CLN1	chr13	639851	+	198
ROT1	chr13	642065	+	92
ERG2	chr13	644914	+	25
TOM40	chr13	645874	+	20
YMR206W	chr13	653138	+	154
ERG12	chr13	661845	+	18
MGL2	chr13	664887	+	23
DML1	chr13	666458	+	18
CEF1	chr13	670722	+	52
GAS3	chr13	674164	+	27
GUA1	chr13	679124	+	59
ESC1	chr13	684447	+	63
ERG8	chr13	689675	+	18
UBP8	chr13	693861	+	231
MTF1	chr13	701996	+	7
RPS10B	chr13	709759	+	32
PEP5	chr13	710894	+	28
TRI1	chr13	716546	+	16
RNH1	chr13	717543	+	100
TAF9	chr13	720328	+	20
BCH1	chr13	721055	+	71
DFG5	chr13	723596	+	134
YHM2	chr13	729193	+	145
YMR244W	chr13	734540	+	64
FAA4	chr13	737151	+	8
GAD1	chr13	747699	+	51
HOR7	chr13	751651	+	39
GFD1	chr13	754883	+	53
YMR262W	chr13	770627	+	40
SAP30	chr13	771834	+	26
CUE1	chr13	772688	+	49
RSN1	chr13	775438	+	17
TMA23	chr13	781360	+	30
DSK2	chr13	795714	+	19
FCP1	chr13	797043	+	119
PRM15	chr13	799607	+	40
GPI12	chr13	809152	+	59
YKU70	chr13	815015	+	44
MRPL33	chr13	818797	+	17
HSH155	chr13	822430	+	13
ABZ2	chr13	825534	+	23
TDA1	chr13	829421	+	83
GOT1	chr13	831637	+	30
JNM1	chr13	833812	+	27
PRC1	chr13	838718	+	70
LIP1	chr13	840663	+	22
UBP15	chr13	851630	+	210
GAS1	chr13	863783	+	88
ELP6	chr13	875236	+	37
PRE5	chr13	878534	+	43
YMR315W	chr13	879626	+	42
DIA1	chr13	881629	+	64
ERO1	chr13	7772	-	16
COX14	chr13	9345	-	10
MSC1	chr13	11306	-	48
ERG13	chr13	15064	-	-53
PGA3	chr13	16304	-	23
TUB3	chr13	18292	-	27
PHO84	chr13	21008	-	626
NDI1	chr13	24441	-	60
VAN1	chr13	36422	-	54
TAF8	chr13	38158	-	19
COQ5	chr13	45541	-	27
PML39	chr13	50843	-	13
SEC65	chr13	53279	-	31
MDM1	chr13	56918	-	36
NUP188	chr13	62141	-	37
CUE4	chr13	64709	-	66
ARG81	chr13	71621	-	28
VPS9	chr13	74291	-	49
PRE8	chr13	81312	-	21
RPM2	chr13	86111	-	857
AIM33	chr13	89907	-	14
ALO1	chr13	92048	-	160
TUB1	chr13	93973	-	55
YML083C	chr13	95606	-	44
ATP18	chr13	98718	-	44
WAR1	chr13	109888	-	16
HMG1	chr13	113501	-	78
FPR3	chr13	115878	-	26
RPL6A	chr13	118729	-	30
TCB3	chr13	124181	-	287
COG8	chr13	126196	-	96
ERV41	chr13	134762	-	20
TEM1	chr13	140476	-	61
MFT1	chr13	143245	-	31
PIF1	chr13	146196	-	134
NTE1	chr13	152843	-	54
IMD4	chr13	158799	-	123
CYB2	chr13	161824	-	43
YML053C	chr13	164309	-	81
RSE1	chr13	172651	-	-128
RRN11	chr13	180484	-	162
VPS71	chr13	184354	-	45
YMD8	chr13	187001	-	125
YML037C	chr13	188228	-	47
AMD1	chr13	191809	-	175
RAD52	chr13	196745	-	40
RPS18B	chr13	206640	-	38
YML6	chr13	208182	-	42
NSE5	chr13	211483	-	44
UNG1	chr13	213568	-	-20
YML018C	chr13	218858	-	131
PPZ1	chr13	224546	-	249
TAF11	chr13	225829	-	39
RAD33	chr13	230225	-	36
MRPL39	chr13	234319	-	42
ERG6	chr13	235785	-	34
GIS4	chr13	241326	-	149
GLO1	chr13	245464	-	18
CDC5	chr13	254248	-	351
PLB2	chr13	262500	-	58
PLB1	chr13	265529	-	184
SEC59	chr13	279555	-	56
ERG5	chr13	285301	-	54
SOK2	chr13	288579	-	224
MAC1	chr13	301237	-	57
MSS1	chr13	303795	-	16
PEX12	chr13	308319	-	122
FAR8	chr13	313032	-	39
EIS1	chr13	317579	-	74
RCH1	chr13	323617	-	133
MIH1	chr13	326324	-	42
MSN2	chr13	329712	-	433
CCS1	chr13	331052	-	30
SUB1	chr13	332384	-	100
ARA2	chr13	334753	-	18
NUP116	chr13	343630	-	75
ERB1	chr13	347392	-	34
STB2	chr13	354133	-	0
BUB2	chr13	358284	-	29
AAC1	chr13	359427	-	-42
SAM37	chr13	363747	-	21
ARG7	chr13	367635	-	47
UBX4	chr13	376818	-	37
TVP18	chr13	382531	-	60
IRC21	chr13	384107	-	30
SDD2	chr13	384689	-	12
PDS5	chr13	391313	-	79
VPS20	chr13	393440	-	86
CTF18	chr13	395948	-	15
NAM7	chr13	400911	-	79
ISF1	chr13	402438	-	138
VBA1	chr13	416329	-	22
YTA12	chr13	419490	-	199
NPL6	chr13	422585	-	11
AIP1	chr13	424771	-	83
MTG1	chr13	431787	-	50
ATP25	chr13	433901	-	82
YMR099C	chr13	436060	-	23
YPK2	chr13	446734	-	69
PGM2	chr13	448871	-	59
HFD1	chr13	463549	-	23
MED11	chr13	466000	-	-29
YMR114C	chr13	469037	-	54
ASC1	chr13	472241	-	19
SPC24	chr13	473453	-	28
SHH3	chr13	474311	-	43
ADE17	chr13	486790	-	48
RPL15B	chr13	487845	-	35
DLT1	chr13	499469	-	230
SAS2	chr13	500896	-	101
RRB1	chr13	512177	-	29
JLP2	chr13	513065	-	45
GID8	chr13	517540	-	53
PSO2	chr13	522473	-	61
RPL13B	chr13	528678	-	15
NDE1	chr13	534135	-	203
TIF34	chr13	536019	-	38
IMP1	chr13	540015	-	40
RIM13	chr13	545657	-	28
TPP1	chr13	548475	-	12
AIM36	chr13	549498	-	11
ATG16	chr13	552317	-	-51
DNF3	chr13	561528	-	167
INP2	chr13	563973	-	145
MSS11	chr13	567087	-	121
PAH1	chr13	570152	-	108
MME1	chr13	572142	-	253
CEP3	chr13	576600	-	26
ALD3	chr13	578326	-	38
ALD2	chr13	580524	-	26
EAR1	chr13	583132	-	196
PAI3	chr13	587815	-	34
CTL1	chr13	600670	-	41
YMR181C	chr13	601674	-	178
RGM1	chr13	602696	-	113
SSO2	chr13	605279	-	66
YMR187C	chr13	613411	-	22
MRPS17	chr13	614483	-	74
SGS1	chr13	622815	-	152
CMC4	chr13	630303	-	11
VTI1	chr13	636636	-	33
RAD14	chr13	644483	-	34
PFK2	chr13	652223	-	55
HFA1	chr13	661399	-	439
YMR209C	chr13	664691	-	11
EFR3	chr13	670582	-	146
SKY1	chr13	678599	-	167
TRS130	chr13	684296	-	32
FMP42	chr13	692835	-	13
FSH2	chr13	693714	-	28
MRE11	chr13	698080	-	50
MRPL44	chr13	698801	-	21
YMR226C	chr13	699805	-	32
TAF7	chr13	701809	-	47
RRP5	chr13	708602	-	102
RNA1	chr13	720136	-	24
RNT1	chr13	727117	-	63
CUS1	chr13	728676	-	59
RPL20A	chr13	731707	-	110
ZRC1	chr13	733654	-	111
COA6	chr13	736227	-	42
MLO1	chr13	752672	-	15
YMR253C	chr13	754181	-	53
COX7	chr13	756099	-	37
PET111	chr13	759356	-	389
ROY1	chr13	761266	-	48
TRM732	chr13	765881	-	59
TIF11	chr13	766803	-	25
TPS3	chr13	770480	-	170
YMR265C	chr13	774844	-	-12
PRP24	chr13	781198	-	42
RRN9	chr13	783495	-	141
URA10	chr13	784520	-	41
SCS7	chr13	787691	-	39
ZDS1	chr13	791071	-	188
RCE1	chr13	792261	-	47
BUL1	chr13	795532	-	47
CAT8	chr13	808243	-	42
AEP2	chr13	812017	-	47
RIT1	chr13	813722	-	-17
NGL2	chr13	818571	-	8
DSS1	chr13	822253	-	36
HAS1	chr13	828485	-	22
HER2	chr13	833695	-	30
YMR295C	chr13	835818	-	55
LCB1	chr13	837876	-	114
DYN3	chr13	842262	-	46
ADE4	chr13	844080	-	126
ATM1	chr13	846542	-	52
YME2	chr13	849525	-	37
ADH2	chr13	851255	-	55
SCW10	chr13	857238	-	137
PSE1	chr13	869236	-	147
NIP1	chr13	872375	-	81
YMR310C	chr13	873582	-	45
GLC8	chr13	874510	-	39
TGL3	chr13	878190	-	15
ADH6	chr13	889382	-	44
FET4	chr13	891909	-	176
EGT2	chr14	14164	+	22
LEM3	chr14	22038	+	44
VNX1	chr14	24808	+	26
YNL320W	chr14	27781	+	57
PFS2	chr14	30752	+	5
DAL82	chr14	34578	+	7
RFA2	chr14	38386	+	39
STB1	chr14	42752	+	48
MRPS18	chr14	48267	+	26
YPT11	chr14	50400	+	35
TOS6	chr14	55790	+	92
TRF5	chr14	56579	+	76
CLA4	chr14	58850	+	203
MSB3	chr14	70737	+	41
PUS4	chr14	72935	+	9
RFC3	chr14	76331	+	25
PCL1	chr14	77954	+	81
CAF40	chr14	80300	+	141
SEC21	chr14	81943	+	189
CUS2	chr14	85266	+	95
POP3	chr14	97599	+	24
HCH1	chr14	98374	+	29
PRM1	chr14	100847	+	6
CAF120	chr14	103138	+	69
MET2	chr14	107175	+	110
BOR1	chr14	109181	+	17
TOF1	chr14	112764	+	49
BSC4	chr14	127024	+	655
LYP1	chr14	128475	+	57
PIK1	chr14	130780	+	84
POL2	chr14	138124	+	13
ORC5	chr14	145016	+	-2
FOL1	chr14	154452	+	85
TEX1	chr14	159900	+	32
RAD50	chr14	165302	+	22
YNL247W	chr14	172812	+	-23
VPS75	chr14	175357	+	17
SLA2	chr14	177903	+	62
ATG2	chr14	181089	+	149
LAP3	chr14	190444	+	35
KEX2	chr14	192056	+	282
YTP1	chr14	195051	+	47
SIN4	chr14	196807	+	33
YNL234W	chr14	200200	+	-57
BNI4	chr14	201647	+	182
CSL4	chr14	204805	+	28
ATG4	chr14	217270	+	4
SSU72	chr14	218961	+	37
ADE12	chr14	224226	+	91
MGS1	chr14	228133	+	9
PPN2	chr14	230208	+	27
RAP1	chr14	231553	+	40
IES2	chr14	234285	+	87
PEX17	chr14	235500	+	21
VID27	chr14	237331	+	34
SSB2	chr14	241940	+	23
YNL208W	chr14	244303	+	19
RIO2	chr14	245116	+	141
SPS19	chr14	249460	+	22
YNL193W	chr14	264252	+	20
CHS1	chr14	266291	+	115
DUG3	chr14	270310	+	25
YNL190W	chr14	272076	+	222
SRP1	chr14	273969	+	194
KAR1	chr14	276110	+	101
SWT21	chr14	277682	+	215
UBP10	chr14	279208	+	193
PBR1	chr14	288169	+	69
RPS3	chr14	292555	+	18
APC1	chr14	300424	+	99
YNL165W	chr14	313639	+	77
RPL42A	chr14	321162	+	44
CBK1	chr14	322310	+	171
YGP1	chr14	326374	+	55
PGA1	chr14	329460	+	36
IGO1	chr14	330212	+	24
CUZ1	chr14	332296	+	104
INN1	chr14	336176	+	21
LSM7	chr14	340747	+	77
MFA2	chr14	342257	+	41
MEP2	chr14	347247	+	68
AAH1	chr14	349406	+	25
SRV2	chr14	356545	+	31
EAF7	chr14	360194	+	9
KRE33	chr14	365064	+	91
TOM22	chr14	368554	+	47
NRK1	chr14	371120	+	194
FAR11	chr14	373745	+	76
SPC98	chr14	376998	+	63
NAF1	chr14	383557	+	-831
NMA111	chr14	384486	+	33
NCS2	chr14	390866	+	8
MLS1	chr14	396129	+	63
DMA2	chr14	398114	+	61
RPC19	chr14	402555	+	48
DBP2	chr14	403414	+	41
YAF9	chr14	409829	+	49
MET4	chr14	417364	+	151
POL1	chr14	419809	+	58
AVT4	chr14	424579	+	200
MIC27	chr14	427347	+	46
APP1	chr14	437089	+	273
YPT53	chr14	439529	+	90
YNL092W	chr14	440573	+	49
NST1	chr14	442018	+	141
RHO2	chr14	446171	+	145
TOP2	chr14	447384	+	72
TCB2	chr14	452055	+	108
SNN1	chr14	456002	+	84
MKT1	chr14	456617	+	266
SAL1	chr14	461119	+	10
PMS1	chr14	463095	+	47
NIS1	chr14	469473	+	33
MKS1	chr14	473036	+	258
IMP4	chr14	475292	+	53
MSK1	chr14	478109	+	4
RNH201	chr14	480023	+	21
LAT1	chr14	481219	+	31
TOM7	chr14	483031	+	53
RPL9B	chr14	489355	+	44
SUN4	chr14	490650	+	583
AQR1	chr14	493349	+	93
MTQ1	chr14	497514	+	-38
NOP2	chr14	500219	+	39
OCA2	chr14	506924	+	43
VAC7	chr14	515742	+	56
MSG5	chr14	519544	+	110
COX5A	chr14	521406	+	31
COG5	chr14	522365	+	6
ALG11	chr14	527867	+	18
YNL046W	chr14	532039	+	-23
LAP2	chr14	532696	+	-21
YIP3	chr14	534909	+	71
BOP3	chr14	537723	+	89
YNL040W	chr14	543047	+	45
BDP1	chr14	544713	+	47
GPI15	chr14	546732	+	0
NCE103	chr14	549475	+	51
SIW14	chr14	564085	+	128
HHF2	chr14	566404	+	30
CRZ1	chr14	569178	+	109
SAM50	chr14	571604	+	23
HDA1	chr14	582864	+	70
PUB1	chr14	592564	+	50
PBI2	chr14	595038	+	53
HEF3	chr14	595954	+	64
YNL010W	chr14	603295	+	39
IDP3	chr14	604486	+	34
LST8	chr14	609756	+	10
HRB1	chr14	612578	+	36
DOM34	chr14	617092	+	63
SWM2	chr14	625616	+	26
VPS27	chr14	626664	+	21
LRO1	chr14	630064	+	31
NRM1	chr14	632335	+	54
CSE2	chr14	633401	+	42
URK1	chr14	637039	+	92
YNR014W	chr14	642106	+	51
SMM1	chr14	643072	+	7
TIM23	chr14	652408	+	197
RCF2	chr14	653941	+	21
ARE2	chr14	654989	+	42
YNR021W	chr14	658026	+	27
SNF12	chr14	660054	+	40
MPP6	chr14	662069	+	16
BUD17	chr14	664592	+	7
CPR8	chr14	665796	+	57
ALG12	chr14	668414	+	61
PPG1	chr14	675581	+	105
ABZ1	chr14	677307	+	6
SOL1	chr14	679896	+	103
EGO4	chr14	682167	+	72
DBP6	chr14	685269	+	4
DPI29	chr14	689363	+	5
MVD1	chr14	691560	+	13
AGA1	chr14	693336	+	41
PET494	chr14	695792	+	25
TRM112	chr14	697454	+	12
FPK1	chr14	698142	+	59
YNR048W	chr14	701281	+	27
MNT4	chr14	726364	+	101
YNR063W	chr14	736539	+	71
COS10	chr14	755904	+	24
AAD14	chr14	7541	-	155
RPD3	chr14	9484	-	44
PEX6	chr14	12789	-	18
MDJ2	chr14	13434	-	22
PFA3	chr14	18517	-	32
FIG4	chr14	21520	-	4
KRE1	chr14	24391	-	18
PHA2	chr14	33269	-	56
ATP11	chr14	34416	-	-2
EMW1	chr14	38191	-	31
SKP2	chr14	41831	-	5
ZIM17	chr14	42601	-	32
KRI1	chr14	46076	-	41
MCK1	chr14	47877	-	166
BXI1	chr14	49960	-	31
RPS19B	chr14	53111	-	30
RPL18B	chr14	54724	-	24
MON2	chr14	66752	-	31
RIM21	chr14	70577	-	179
MID1	chr14	76167	-	214
MRPL10	chr14	93991	-	-47
WSC2	chr14	96982	-	351
ERG24	chr14	100408	-	61
GOR1	chr14	112145	-	45
SEC2	chr14	119110	-	96
BNI1	chr14	125607	-	261
ALP1	chr14	127673	-	32
IST1	chr14	135228	-	21
PDR17	chr14	136558	-	18
YIF1	chr14	137906	-	141
LTO1	chr14	147283	-	-85
ATX1	chr14	147807	-	29
DSL1	chr14	150295	-	8
SIP3	chr14	154290	-	56
GIS2	chr14	157731	-	27
RTC4	chr14	159215	-	53
MRPL17	chr14	162210	-	10
NRD1	chr14	164501	-	272
MPA43	chr14	170958	-	22
RPA49	chr14	172555	-	33
SUI1	chr14	177443	-	33
ZWF1	chr14	187945	-	92
